Rank,College Name,Course,Alloted Category,Round,Year,College Category
1,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
1,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
2,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2024,Government
3,"TCM : Govt. Medical College, Thrissur.",MBBS,SM,Round 1,2024,Government
3,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2025,Government
4,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
5,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
6,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
8,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
10,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
12,"KTM : Govt. Medical College, Kottayam.",MBBS,SM,Round 1,2024,Government
12,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
14,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
16,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2025,Government
18,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
19,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
19,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
21,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
22,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
23,"TCM : Govt. Medical College, Thrissur.",MBBS,SM,Round 1,2024,Government
23,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2025,Government
24,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
25,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
28,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
29,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2025,Government
33,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
34,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
37,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2025,Government
39,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2025,Government
40,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
40,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
41,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2024,Government
42,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 3,2024,Government
44,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
45,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
45,"KTM : Govt. Medical College, Kottayam.",MBBS,SM,Round 1,2025,Government
46,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 1,2025,Government
47,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
50,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
52,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
53,"TCM : Govt. Medical College, Thrissur.",MBBS,SM,Round 1,2024,Government
55,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM,Round 3,2025,Government
56,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
57,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
60,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
60,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2025,Government
62,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM,Round 1,2024,Government
